BranchID,TerminalOrder,PathPointIndex,PathEdgeIndex,SourceCurveIndex,CurvePointIndex,X_mm,Y_mm,Z_mm,SegmentLength_mm,CumulativeLength_mm,NormalizedProgress,IsTerminalSegment,Terminal_X_mm,Terminal_Y_mm,Terminal_Z_mm,TotalPathLength_mm,PathEdgeCount
Branch_002,2,3,0,9,3,8.306425100,-80.784424000,39.387024000,5.340754018,14.621164212,0.061441639,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,4,0,9,4,8.427463500,-75.420364000,38.457928000,5.445274039,20.066438250,0.084323986,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,5,0,9,5,8.845435100,-70.229225000,37.995411000,5.228436320,25.294874570,0.106295129,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,6,0,9,6,9.507898300,-65.372032000,38.028183000,4.902270427,30.197144997,0.126895645,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,7,0,9,7,10.287036000,-60.827480000,38.464947000,4.631497731,34.828642727,0.146358309,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,8,0,9,8,11.014260000,-56.442604000,39.132923000,4.494683995,39.323326723,0.165246050,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,9,0,9,9,11.527933000,-52.014019000,39.835442000,4.513286829,43.836613551,0.184211963,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,10,0,9,10,11.720328000,-47.372635000,40.409962000,4.680762171,48.517375722,0.203881648,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,11,0,9,11,11.570354000,-42.445747000,40.769272000,4.942248602,53.459624324,0.224650162,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,12,0,9,12,11.152950000,-37.279388000,40.914940000,5.185239684,58.644864008,0.246439783,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,13,0,9,13,10.623031000,-32.017574000,40.921852000,5.288435354,63.933299362,0.268663057,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,14,0,9,14,10.179241000,-26.849152000,40.901917000,5.187478476,69.120777838,0.290462085,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,15,0,9,15,10.018347000,-21.942720000,40.961330000,4.909428862,74.030206700,0.311092683,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,16,0,9,16,10.293105000,-17.392542000,41.166740000,4.563091612,78.593298312,0.330267888,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,17,0,9,17,11.084682000,-13.193231000,41.531292000,4.288788312,82.882086624,0.348290405,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,18,0,9,18,12.395549000,-9.250117300,42.023792000,4.184384566,87.066471190,0.365874193,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,19,0,9,19,13.428562000,-7.010438900,42.358051000,2.488976551,89.555447741,0.376333469,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,20,1,10,1,8.513610800,-3.880808800,41.469315000,5.894165042,95.449612783,0.401102164,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,21,1,10,2,5.700329800,-1.497111100,40.852108000,3.738650718,99.188263500,0.416812871,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,22,1,10,3,3.228861600,1.258957700,40.246117000,3.751172535,102.939436035,0.432576198,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,23,1,10,4,0.224044770,4.499023400,39.624977000,4.462372107,107.401808142,0.451328155,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,24,1,10,5,-3.124296900,7.948573600,39.092415000,4.836776903,112.238585045,0.471653452,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,25,1,10,6,-6.637706300,11.364470000,38.724075000,4.914068394,117.152653439,0.492303546,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,26,1,10,7,-10.168994000,14.571689000,38.552483000,4.773435906,121.926089345,0.512362668,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,27,1,10,8,-13.613175000,17.485661000,38.562916000,4.511510216,126.437599561,0.531321116,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,28,1,10,9,-16.908464000,20.116638000,38.700928000,4.219006622,130.656606183,0.549050394,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,29,1,10,10,-20.028803000,22.556101000,38.889393000,3.965225625,134.621831808,0.565713223,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,30,1,10,11,-22.971312000,24.948771000,39.050686000,3.795951050,138.417782859,0.581664719,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,31,1,10,12,-25.743008000,27.456394000,39.128395000,3.738517155,142.156300013,0.597374865,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,32,1,10,13,-28.350756000,30.220842000,39.103210000,3.800415327,145.956715341,0.613345122,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
Branch_002,2,33,1,10,14,-31.678991000,34.678879000,38.953018000,5.565411013,151.522126354,0.636732314,0,-45.704964000,100.761110000,75.430984000,237.968331620,8
